City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,portland,45.5234,-122.6762,24.91,48,62,2.24,US,1683838958
192,villa gesell,-37.2639,-56.973,13.36,67,67,3.65,AR,1683839348
193,sona,45.4388,10.8255,12.75,95,75,0.51,IT,1683839349
194,pitimbu,-7.4706,-34.8086,27.33,76,89,4.07,BR,1683839349
195,mossel bay,-34.1831,22.146,12.96,76,100,5.87,ZA,1683839350
196,isafjordur,66.0755,-23.124,7.42,91,100,4.34,IS,1683839350
197,talnakh,69.4865,88.3972,-16.55,88,21,4.93,RU,1683839350
198,galliano,29.4422,-90.2992,31.0,66,100,4.12,US,1683839350
199,shendi,16.6915,33.4341,34.64,8,3,3.75,SD,1683839220
200,dapa,9.7594,126.0531,27.52,79,100,1.25,PH,1683839351
201,baglung,28.2719,83.5898,17.34,35,0,2.89,NP,1683839351
202,dudinka,69.4058,86.1778,-16.32,98,34,5.65,RU,1683839352
203,tamiahua,21.2667,-97.45,31.73,63,1,5.32,MX,1683839318
204,keflavik,64.0049,-22.5624,8.24,100,100,10.29,IS,1683839352
205,mejit,10.2753,170.8646,27.56,81,99,7.46,MH,1683839352
206,kosh-agach,50.0,88.6667,5.46,67,68,0.51,RU,1683839352
207,yamada,39.4667,141.95,8.38,72,0,1.29,JP,1683839278
208,al muwayh,22.4333,41.7583,28.99,12,12,3.67,SA,1683839353
209,nebraska city,40.6767,-95.8592,24.89,68,100,5.14,US,1683839353
210,hithadhoo,-0.6,73.0833,27.95,80,100,6.26,MV,1683839353
211,kirensk,57.7853,108.1119,-0.18,80,82,1.11,RU,1683839353
212,jieshou,33.2634,115.3611,12.56,60,2,1.73,CN,1683839354
213,williston,48.147,-103.618,21.41,72,100,0.89,US,1683839221
214,kailua-kona,19.6406,-155.9956,27.98,81,40,6.17,US,1683839354
215,villers-le-bouillet,50.5771,5.2595,12.46,100,75,2.06,BE,1683839354
216,chui,-33.6971,-53.4616,15.47,63,87,3.73,UY,1683839354
217,berezovyy,51.6667,135.7,8.03,56,23,1.09,RU,1683839355
218,arawa,-6.2132,155.5367,26.99,88,85,1.11,PG,1683839355
219,nizhniy kuranakh,58.8353,125.4869,-1.32,97,100,3.37,RU,1683839355
220,jamsa,61.8642,25.19,12.4,64,71,2.37,FI,1683839355
221,suez,29.9737,32.5263,23.34,54,0,3.68,EG,1683839355
222,kimbe,-5.5502,150.1429,25.43,92,80,1.27,PG,1683839355
223,karratha,-20.7377,116.8463,22.17,27,1,5.26,AU,1683839356
224,ialibu,-6.2821,143.9935,14.08,95,100,1.2,PG,1683839356
225,kristiansund,63.1115,7.732,10.36,87,75,1.03,NO,1683839356
226,alofi,-19.0595,-169.9187,26.07,82,13,8.6,NU,1683839356
227,san luis acatlan,16.8167,-98.7333,33.31,45,96,4.95,MX,1683839356
228,andkhoy,36.9529,65.1238,24.12,37,6,3.37,AF,1683839357
229,sinabang,2.4803,96.3801,28.01,82,94,4.45,ID,1683839357
230,korla,41.7597,86.1469,17.46,19,49,3.1,CN,1683839331
231,tipasa,36.5897,2.4475,16.18,85,6,3.29,DZ,1683839357
232,conil de la frontera,36.2772,-6.0885,19.88,78,17,1.76,ES,1683839358
233,kokologo,12.1897,-1.8856,35.61,24,95,3.09,BF,1683839358
234,hadibu,12.65,54.0333,28.73,71,91,1.21,YE,1683839358
235,itamaraca,-7.7478,-34.8256,28.03,76,55,3.55,BR,1683839358
236,safotu,-13.4513,-172.4018,27.91,75,11,6.59,WS,1683839359
237,tual,-5.6667,132.75,26.27,90,100,7.7,ID,1683839359
238,biltine,14.5333,20.9167,32.87,28,100,6.38,TD,1683839359
239,yemetsk,63.4721,41.7941,11.6,69,100,2.88,RU,1683839359
240,isangel,-19.55,169.2667,25.13,69,96,5.3,VU,1683839268
241,adam,22.3756,57.5233,30.24,29,0,3.28,OM,1683839360
242,bismarck,46.8083,-100.7837,22.7,65,100,5.14,US,1683839198
243,mount isa,-20.7333,139.5,14.87,38,0,3.6,AU,1683839360
244,tubarjal,30.4999,38.216,27.82,13,0,1.43,SA,1683839360
245,puerto baquerizo moreno,-0.9,-89.6,27.55,83,75,6.17,EC,1683839130
246,afaahiti,-17.75,-149.2833,26.93,94,100,10.17,PF,1683839360
247,palu,-0.8917,119.8707,24.55,96,100,1.74,ID,1683839361
248,papao,-17.75,-149.55,27.82,91,100,8.77,PF,1683839361
249,usogorsk,63.4106,48.6872,8.62,93,100,3.05,RU,1683839361
250,mangochi,-14.4782,35.2645,19.79,68,99,0.43,MW,1683839361
251,mount pleasant,32.7941,-79.8626,25.17,72,75,8.23,US,1683839361
252,yarmouth,41.7057,-70.2286,27.26,52,0,5.14,US,1683839362
